startup,industry
Remit Guru,Consumer Internet & Tech
Aequm,E-Commerce
Zapty,Consumer Internet & Tech
Vernacular.ai,Consumer Internet & Tech
Telr,Consumer Internet & Tech
Genie,Consumer Internet & Tech
Paysense,Consumer Internet & Tech
The Good Life,E-Commerce
PumpKart,E-Commerce
Paytm,E-Commerce
EzCred,Consumer Internet & Tech
HealthSutra,Food & Beverage
Delhivery,Logistics & Transport
ZipGrid,Consumer Internet & Tech
TravelSpice,E-Commerce
The Print,Consumer Internet & Tech
Box8,Consumer Internet & Tech
GenNext Students,Consumer Internet & Tech
WhatsLoan,Consumer Internet & Tech
Cube Consumer Services,Consumer Internet & Tech
Nivesh,Consumer Internet & Tech
Wowflux,Consumer Internet & Tech
Collateral Medical,E-Commerce
Loadshare,Logistics & Transport
SimpliLend,Consumer Internet & Tech
Supr Daily,Consumer Internet & Tech
Swiggy,Consumer Internet & Tech
SastaSundar,E-Commerce
Eruditus,Edtech
TestBook,Consumer Internet & Tech
Healthcare at Home,Healthtech
Tyre Express,Consumer Internet & Tech
SmartCoin,Consumer Internet & Tech
WayCool,Food & Beverage
Perfios,Consumer Internet & Tech
Whatfix,Consumer Internet & Tech
ElastiRun,Consumer Internet & Tech
Trukky,Consumer Internet & Tech
Konsult App,Consumer Internet & Tech
Credit Sudhaar,Consumer Internet & Tech
DataWeave,Consumer Internet & Tech
Medwell Ventures,Healthtech
Mech Mocha,Consumer Internet & Tech
Startup Buddy,Consumer Internet & Tech
QorQI,Healthtech
Twenty Two Motors,Consumer Internet & Tech
PharmEasy,E-Commerce
WonderChef,E-Commerce
FastFox,Consumer Internet & Tech
Omnify,Consumer Internet & Tech
Capital Float,Consumer Internet & Tech
Ninjacart,E-Commerce
MergerWare,Consumer Internet & Tech
Clovia,E-Commerce
Emiza,Logistics & Transport
HackerEarth,Consumer Internet & Tech
Squadrun,Consumer Internet & Tech
