investor_a,investor_b,timesCoInvested
Fidelity Growth Partners India,Greycroft Partners,1
Ajay Modani,Hari Krishna,1
Dr V Ravinder,Hari Krishna,1
Anirudh Rastogi,Hari Krishna,1
Abhishek Jain,Hari Krishna,1
Hari Krishna,Rakesh Gakhar,1
Hari Krishna,Rajeev Mudumba,1
Hari Krishna,Nagendra Prasad Bhanuprakash,1
Ajay Modani,Dr V Ravinder,1
Ajay Modani,Anirudh Rastogi,1
Abhishek Jain,Ajay Modani,1
Ajay Modani,Rakesh Gakhar,1
Ajay Modani,Rajeev Mudumba,1
Ajay Modani,Nagendra Prasad Bhanuprakash,1
Anirudh Rastogi,Dr V Ravinder,1
Abhishek Jain,Dr V Ravinder,1
Dr V Ravinder,Rakesh Gakhar,1
Dr V Ravinder,Rajeev Mudumba,1
Dr V Ravinder,Nagendra Prasad Bhanuprakash,1
Abhishek Jain,Anirudh Rastogi,1
Anirudh Rastogi,Rakesh Gakhar,1
Anirudh Rastogi,Rajeev Mudumba,1
Anirudh Rastogi,Nagendra Prasad Bhanuprakash,1
Abhishek Jain,Rakesh Gakhar,1
Abhishek Jain,Rajeev Mudumba,1
Abhishek Jain,Nagendra Prasad Bhanuprakash,1
Rajeev Mudumba,Rakesh Gakhar,1
Nagendra Prasad Bhanuprakash,Rakesh Gakhar,1
Nagendra Prasad Bhanuprakash,Rajeev Mudumba,1
Blume Ventures,S Chand and Co Pvt Ltd,1
Alex Kuruvilla,Pradeep Guha,1
Alex Kuruvilla,Saket Dhankar,1
Alex Kuruvilla,Rajan Pandhare,1
Pradeep Guha,Saket Dhankar,1
Pradeep Guha,Rajan Pandhare,1
Rajan Pandhare,Saket Dhankar,1
Chandrashekar Tallapragada,Pankaj Kapoor,1
Atul Nishar,Kris Gopalakrishnan,1
Abhishek Goyal,Zishaan Hayath,1
Arjun and Rohan Malhotra,Zishaan Hayath,1
Harpreet Singh Grover,Zishaan Hayath,2
Gagan Dugal,Zishaan Hayath,1
Abhishek Goyal,Arjun and Rohan Malhotra,1
Abhishek Goyal,Harpreet Singh Grover,1
Abhishek Goyal,Gagan Dugal,1
Arjun and Rohan Malhotra,Harpreet Singh Grover,1
Arjun and Rohan Malhotra,Gagan Dugal,1
Gagan Dugal,Harpreet Singh Grover,1
Anita Hassanandani,Rannvijay Singh,1
Sequoia India,Sofina,1
Indian Angel Network,Tracxn Labs & Others,1
Alok Mittal,Rajul Garg,1
Kunal Shah,Rajul Garg,1
Rajul Garg,Rishi Mandawat,1
Dheeraj Jain,Rajul Garg,1
Rajul Garg,Sandeep Tandon,1
Dexter Angel Circle,Rajul Garg,1
Alok Mittal,Kunal Shah,1
Alok Mittal,Rishi Mandawat,1
Alok Mittal,Dheeraj Jain,1
Alok Mittal,Sandeep Tandon,1
Alok Mittal,Dexter Angel Circle,1
Kunal Shah,Rishi Mandawat,1
Dexter Angel Circle,Kunal Shah,1
Dheeraj Jain,Rishi Mandawat,1
Rishi Mandawat,Sandeep Tandon,1
Dexter Angel Circle,Rishi Mandawat,1
Dexter Angel Circle,Dheeraj Jain,1
Dexter Angel Circle,Sandeep Tandon,1
Infocomm Development Authority of Singapore,Pix Vine Capital,1
Devidas Desai,Vipul Gautam,1
Devidas Desai,Singapore Angel Network,1
Singapore Angel Network,Vipul Gautam,1
500 Startups,Littlerock,1
500 Startups,Singularity Ventures,1
Littlerock,Singularity Ventures,1
BitChemy Ventures,Maheshwari Investments Pvt Ltd,1
Anshoo Gaur,BitChemy Ventures,1
BitChemy Ventures,Rama Krishna Reddy,1
BitChemy Ventures,Sandeep Seerapu,1
Anshoo Gaur,Maheshwari Investments Pvt Ltd,1
Maheshwari Investments Pvt Ltd,Rama Krishna Reddy,1
Maheshwari Investments Pvt Ltd,Sandeep Seerapu,1
Anshoo Gaur,Rama Krishna Reddy,1
Anshoo Gaur,Sandeep Seerapu,1
Rama Krishna Reddy,Sandeep Seerapu,1
Bhavish Aggarwal,\\xc2\\xa0 Rajan Anandan,1
Bhavish Aggarwal,Mekin Maheshwar,1
Bhavish Aggarwal,Sunil Kalra,1
Anupam Mittal,Bhavish Aggarwal,1
Bhavish Aggarwal,Krishna Mehra,1
Bhavish Aggarwal,Singapore Angel Network,1
Binny Bansal,\\xc2\\xa0 Rajan Anandan,1
Binny Bansal,Mekin Maheshwar,1
Binny Bansal,Sunil Kalra,1
Binny Bansal,Krishna Mehra,1
Binny Bansal,Singapore Angel Network,1
Mekin Maheshwar,\\xc2\\xa0 Rajan Anandan,1
Sunil Kalra,\\xc2\\xa0 Rajan Anandan,1
Anupam Mittal,\\xc2\\xa0 Rajan Anandan,1
Krishna Mehra,\\xc2\\xa0 Rajan Anandan,1
Singapore Angel Network,\\xc2\\xa0 Rajan Anandan,1
Mekin Maheshwar,Sunil Kalra,1
Anupam Mittal,Mekin Maheshwar,1
Krishna Mehra,Mekin Maheshwar,1
Mekin Maheshwar,Singapore Angel Network,1
Anupam Mittal,Sunil Kalra,1
Krishna Mehra,Sunil Kalra,1
Singapore Angel Network,Sunil Kalra,1
Anupam Mittal,Krishna Mehra,1
Krishna Mehra,Singapore Angel Network,1
Bharanidharan Viswanathan,Sanjiv Mittal,1
Bharanidharan Viswanathan,Shobhit Shukla,1
Bharanidharan Viswanathan,Rahul Agarwal,1
Sanjiv Mittal,Shobhit Shukla,1
Rahul Agarwal,Sanjiv Mittal,1
Rahul Agarwal,Shobhit Shukla,1
Daljit Singh,Rajul Garg,1
Aditya Vij,Rajul Garg,1
Kishore Kumar,Rajul Garg,1
Rajul Garg,Shuchin Bajaj,1
Aditya Vij,Daljit Singh,1
Daljit Singh,Kishore Kumar,1
Daljit Singh,Shuchin Bajaj,1
Aditya Vij,Kishore Kumar,1
Aditya Vij,Shuchin Bajaj,1
Kishore Kumar,Shuchin Bajaj,1
Alok Mittal,Amit Gupta,1
Alok Mittal,Anuj Srivastava,1
Alok Mittal,Himanshu Aggarwal,1
Alok Mittal,Raghunandan G,1
Alok Mittal,Puneet Agarwal,1
Amit Gupta,Anuj Srivastava,1
Amit Gupta,Himanshu Aggarwal,1
Amit Gupta,Puneet Agarwal,1
Anuj Srivastava,Himanshu Aggarwal,1
Anuj Srivastava,Raghunandan G,1
Anuj Srivastava,Puneet Agarwal,1
Himanshu Aggarwal,Raghunandan G,1
Himanshu Aggarwal,Puneet Agarwal,1
Puneet Agarwal,Raghunandan G,1
Hiro Mashita,Mohandas Pai,1
Mohandas Pai,Singapore Angel Network,1
500 Startups,Mohandas Pai,1
Mohandas Pai,Rajan Anandan,1
Ajay Sarupria,Mohandas Pai,1
Hiro Mashita,Singapore Angel Network,1
500 Startups,Hiro Mashita,1
Hiro Mashita,Rajan Anandan,1
Ajay Sarupria,Hiro Mashita,1
Rajan Anandan,Singapore Angel Network,1
Ajay Sarupria,Singapore Angel Network,1
500 Startups,Ajay Sarupria,1
Ajay Sarupria,Rajan Anandan,1
Wipro Ventures,\\xc2\\xa0 Lumis Partners,1
T V Mohandas Pai,\\xc2\\xa0 Aarin Capital,1
Aarin Capital,TV Mohandas Pai,1
Nyca Partners and Thomvest Ventures,Sherpa Capital,1
Raghunandan G,Venturesity,1
Arihant Patni,Raghunandan G,1
Arihant Patni,Venturesity,1
Saha Fund,TV Mohandas Pai,1
Saha Fund,Zia Mody,1
Mumbai Angels,Saha Fund,1
Ananda Kallugadde,Saha Fund,1
Rakesh Desai,Saha Fund,1
Rakesh Malhotra,Saha Fund,1
TV Mohandas Pai,Zia Mody,1
Mumbai Angels,TV Mohandas Pai,1
Ananda Kallugadde,TV Mohandas Pai,1
Rakesh Desai,TV Mohandas Pai,1
Rakesh Malhotra,TV Mohandas Pai,1
Mumbai Angels,Zia Mody,1
Ananda Kallugadde,Zia Mody,1
Rakesh Desai,Zia Mody,1
Rakesh Malhotra,Zia Mody,1
Ananda Kallugadde,Mumbai Angels,1
Mumbai Angels,Rakesh Desai,1
Mumbai Angels,Rakesh Malhotra,1
Ananda Kallugadde,Rakesh Desai,1
Ananda Kallugadde,Rakesh Malhotra,1
Rakesh Desai,Rakesh Malhotra,1
Mohit Goel,Vinod Jain & Others,1
Sanjeev Singhal,Vinod Bansal,1
Mahesh Parasuraman,Rahul Gautam & Others,1
SAIF Partners,Vertex Ventures,1
SAIF Partners,Valiant Capital,1
IDG Ventures India,Vertex Ventures,2
IDG Ventures India,Valiant Capital,2
Valiant Capital,Vertex Ventures,2
Endiya Partners,Mekin Maheshwari,1
Endiya Partners,Rajesh Sawhney,1
Mekin Maheshwari,Rajesh Sawhney,1
Aarin Capital & Others,India Ventures,1
Anil Gelra,Atul Jain,1
Atul Jain,Jaikumar Nair,1
Anil Gelra,Jaikumar Nair,1
Alok Rawat,Grey Orange Robotics,1
Aspada Advisors,IDG Ventures,1
Aspada Advisors,\\xc2\\xa0 Inventus Capital,1
IDG Ventures,\\xc2\\xa0 Inventus Capital,1
Abhay Singhal,Vaibhav Doshi,1
Vaibhav Doshi,Vibhu Garg,1
Joby Babu,Vaibhav Doshi,1
Abhishek Acharya,Vaibhav Doshi,1
Manish Shah,Vaibhav Doshi,1
Abhay Singhal,Vibhu Garg,1
Abhay Singhal,Joby Babu,1
Abhay Singhal,Abhishek Acharya,1
Abhay Singhal,Manish Shah,1
Joby Babu,Vibhu Garg,1
Abhishek Acharya,Vibhu Garg,1
Manish Shah,Vibhu Garg,1
Abhishek Acharya,Joby Babu,1
Joby Babu,Manish Shah,1
Abhishek Acharya,Manish Shah,1
Blume Ventures,\\xc2\\xa0 Tracxn Labs,1
GrowX Ventures,Kunal Shah,1
GrowX Ventures,Sandeep Tandon,1
GrowX Ventures,Haresh Chawla,1
GrowX Ventures,Powai Lake Ventures,1
Globevestor,GrowX Ventures,1
Haresh Chawla,Kunal Shah,1
Kunal Shah,Powai Lake Ventures,1
Globevestor,Kunal Shah,1
Haresh Chawla,Sandeep Tandon,1
Powai Lake Ventures,Sandeep Tandon,1
Globevestor,Sandeep Tandon,1
Haresh Chawla,Powai Lake Ventures,1
Globevestor,Haresh Chawla,1
Globevestor,Powai Lake Ventures,1
Deepak Chokhani,Virendra Shekhawat,1
Virendra Shekhawat,Yogesh Patel & Others,1
Deepak Chokhani,Yogesh Patel & Others,1
Brand Capital,Siddhivinayak Skyscrapers,1
Brand Capital,Dinesh R. Challa,1
Dinesh R. Challa,Siddhivinayak Skyscrapers,1
Prijit Debnath,Rajnish Sinha,1
Kanchan Ghoshal,Rajnish Sinha,1
Kanchan Ghoshal,Prijit Debnath,1
KWAN Entertainment & Marketing Solutions,Powerhouse Ventures & Others,1
Amit Sandill,Dr Nandish Domlur,1
K Ganesh,Lightspeed Venture Partners,1
Dino Morea,Sujal Shah,1
Mohandas Pai,Nandan Nilekani,1
Nandan Nilekani,Neeraj Arora,1
Anand Rajaraman,Nandan Nilekani,1
Girish Mathrubootham,Nandan Nilekani,1
Aneesh Reddy & Teruhide Sato,Nandan Nilekani,1
Mohandas Pai,Neeraj Arora,1
Anand Rajaraman,Mohandas Pai,1
Girish Mathrubootham,Mohandas Pai,1
Aneesh Reddy & Teruhide Sato,Mohandas Pai,1
Anand Rajaraman,Neeraj Arora,1
Girish Mathrubootham,Neeraj Arora,1
Aneesh Reddy & Teruhide Sato,Neeraj Arora,1
Anand Rajaraman,Girish Mathrubootham,1
Anand Rajaraman,Aneesh Reddy & Teruhide Sato,1
Aneesh Reddy & Teruhide Sato,Girish Mathrubootham,1
Mohandas Pai,Varun Aggarwal,1
Accel Partners & Others,Sachin Bansal,1
Accel Partners & Others,Binny Bansal,1
IvyCap Ventures,Orios Venture Partners,1
IvyCap Ventures,Mayfield India,1
Mayfield India,Orios Venture Partners,2
Omidyar Network,\\xc2\\xa0 Vikram Lal,1
Abhijit Bhandari,Omidyar Network,1
Mahesh Murthy,Omidyar Network,1
Omidyar Network,Shashank Bhagat,1
Abhijit Bhandari,\\xc2\\xa0 Vikram Lal,1
Mahesh Murthy,\\xc2\\xa0 Vikram Lal,1
Shashank Bhagat,\\xc2\\xa0 Vikram Lal,1
Abhijit Bhandari,Mahesh Murthy,1
Abhijit Bhandari,Shashank Bhagat,1
Mahesh Murthy,Shashank Bhagat,1
Holtzbrink Ventures,Rocket Internet AG,1
"New Enterprise Associates (NEA), e.ventures, ru-Net",Rocket Internet AG,1
Deutsche Telekom Strategic Investments (DTSI),Rocket Internet AG,1
Rocket Internet AG,Silicon Valley Bank,1
Holtzbrink Ventures,"New Enterprise Associates (NEA), e.ventures, ru-Net",1
Deutsche Telekom Strategic Investments (DTSI),Holtzbrink Ventures,1
Holtzbrink Ventures,Silicon Valley Bank,1
Deutsche Telekom Strategic Investments (DTSI),"New Enterprise Associates (NEA), e.ventures, ru-Net",1
"New Enterprise Associates (NEA), e.ventures, ru-Net",Silicon Valley Bank,1
Deutsche Telekom Strategic Investments (DTSI),Silicon Valley Bank,1
StartupXseed Ventures,The Phoenix Fund and others,1
Beenext,Qualgro,1
Beenext,Mamoru Taniya,1
Beenext,SAIF Partners,1
Digital Garage,Qualgro,1
Digital Garage,Mamoru Taniya,1
Beenos,Qualgro,1
Beenos,Mamoru Taniya,1
Beenos,SAIF Partners,1
Mamoru Taniya,Qualgro,1
Qualgro,SAIF Partners,1
Mamoru Taniya,SAIF Partners,1
Suresh Venkat,Varun Aggarwal,1
Raj Y,Varun Aggarwal,1
Raj Y,Suresh Venkat,1
Calcutta Angels,Lead Angels & Others,1
Accel Partners,Ashish Hemrajani,1
Accel Partners,Parikshit Dar,1
Accel Partners,Rajesh Balpande,1
Ashish Hemrajani,Parikshit Dar,1
Ashish Hemrajani,Rajesh Balpande,1
Parikshit Dar,Rajesh Balpande,1
Acumen Fund,Insitor Impact Asia Fund,1
Pramod Bhasin,Rajan Anandan,2
Rajan Anandan,Siddharth Pai,1
Rajan Anandan,TV Mohandas Pai,1
Manvinder Singh Banga,Rajan Anandan,1
Pramod Bhasin,Siddharth Pai,1
Pramod Bhasin,TV Mohandas Pai,1
Manvinder Singh Banga,Pramod Bhasin,1
Siddharth Pai,TV Mohandas Pai,1
Manvinder Singh Banga,Siddharth Pai,1
Manvinder Singh Banga,TV Mohandas Pai,1
Deepinder Goyal,Sequoia Capital,1
Ashish Dhawan,Sequoia Capital,1
Mayank Singhal,Sequoia Capital,1
Deepinder Goyal,Kunal Bahl,1
Ashish Dhawan,Kunal Bahl,1
Kunal Bahl,Mayank Singhal,2
Deepinder Goyal,Rohit Bansal,1
Ashish Dhawan,Rohit Bansal,1
Mayank Singhal,Rohit Bansal,2
Ashish Dhawan,Deepinder Goyal,1
Deepinder Goyal,Mayank Singhal,1
Ashish Dhawan,Mayank Singhal,1
Anisha Mittal,Samir Bangara,1
Amit Gupta,Samir Bangara,1
Pallav Nadhani,Samir Bangara,1
Lalit Mangal,Samir Bangara,1
Arihant Patni,Samir Bangara,2
Dr. Ritesh Malik,Samir Bangara,1
Deobrat Singh,Samir Bangara,1
Samir Bangara,Saurab Paruthi,1
Samir Bangara,Singapore Angel Network.,1
Amit Gupta,Anisha Mittal,1
Anisha Mittal,Pallav Nadhani,1
Anisha Mittal,Lalit Mangal,1
Anisha Mittal,Arihant Patni,1
Anisha Mittal,Dr. Ritesh Malik,1
Anisha Mittal,Deobrat Singh,1
Anisha Mittal,Saurab Paruthi,1
Anisha Mittal,Singapore Angel Network.,1
Amit Gupta,Pallav Nadhani,2
Amit Gupta,Lalit Mangal,1
Amit Gupta,Arihant Patni,1
Amit Gupta,Dr. Ritesh Malik,1
Amit Gupta,Deobrat Singh,1
Amit Gupta,Saurab Paruthi,1
Amit Gupta,Singapore Angel Network.,1
Lalit Mangal,Pallav Nadhani,1
Arihant Patni,Pallav Nadhani,1
Dr. Ritesh Malik,Pallav Nadhani,1
Deobrat Singh,Pallav Nadhani,1
Pallav Nadhani,Saurab Paruthi,1
Pallav Nadhani,Singapore Angel Network.,1
Arihant Patni,Lalit Mangal,1
Dr. Ritesh Malik,Lalit Mangal,1
Deobrat Singh,Lalit Mangal,1
Lalit Mangal,Saurab Paruthi,1
Lalit Mangal,Singapore Angel Network.,1
Arihant Patni,Dr. Ritesh Malik,1
Arihant Patni,Deobrat Singh,1
Arihant Patni,Saurab Paruthi,1
Arihant Patni,Singapore Angel Network.,1
Deobrat Singh,Dr. Ritesh Malik,1
Dr. Ritesh Malik,Saurab Paruthi,1
Dr. Ritesh Malik,Singapore Angel Network.,1
Deobrat Singh,Saurab Paruthi,1
Deobrat Singh,Singapore Angel Network.,1
Saurab Paruthi,Singapore Angel Network.,1
Dheeraj Jain,Jagdish Kumar,1
Bharat Gupta,Dheeraj Jain,1
Ankush Saigal,Dheeraj Jain,1
Dheeraj Jain,Praveen Saini,1
Bharat Gupta,Jagdish Kumar,1
Ankush Saigal,Jagdish Kumar,1
Jagdish Kumar,Praveen Saini,1
Ankush Saigal,Bharat Gupta,1
Bharat Gupta,Praveen Saini,1
Ankush Saigal,Praveen Saini,1
Lalitesh Katragadda,\\xc2\\xa0 Ganayantrika Systems,1
Amit Jindal,Arjun Handa,1
Arjun Handa,Nagendra Chaudhary,1
Amit Jindal,Nagendra Chaudhary,1
Bhanu Vikram Parsotam,Rohan Desai and Paras Patel,1
SIDBI Venture Capital Limited,YourNest Angel Fund,1
Dr. Apoorv Ranjan Sharma,Krishna Jhujhunwala,1
Anirudh Damani,Krishna Jhujhunwala,1
Anand Ladsariya,Krishna Jhujhunwala,1
Krishna Jhujhunwala,Sanjay Mehta & Others,1
Anand Ladsariya,Dr. Apoorv Ranjan Sharma,1
Dr. Apoorv Ranjan Sharma,Sanjay Mehta & Others,1
Anand Ladsariya,Anirudh Damani,1
Anirudh Damani,Sanjay Mehta & Others,1
Anand Ladsariya,Sanjay Mehta & Others,1
Nahata Family,Waheed Alli,1
500 Startups,Mato Peric,1
500 Startups,TracxnLabs,1
Mato Peric,TracxnLabs,1
Lightspeed Venture Partners,Zodius Capital,1
LetsVenture,TV Mohandas Pai,1
GIC,Tiger Global Management,1
GIC,Nexus Venture Partners,1
Nexus Venture Partners,Tiger Global Management,3
Adam D\\xe2\\x80\\x99Angelo,Matt Mullenweg,1
Aditya Agarwal,Matt Mullenweg,1
Matt Mullenweg,\\xc2\\xa0 Ruchi Sanghvi & Others,1
Adam D\\xe2\\x80\\x99Angelo,Aditya Agarwal,1
Adam D\\xe2\\x80\\x99Angelo,\\xc2\\xa0 Ruchi Sanghvi & Others,1
Aditya Agarwal,\\xc2\\xa0 Ruchi Sanghvi & Others,1
N Squared Management LLC,Vallabh Bhanshali,1
Jagdish & Sandeep Mehta Family Office,Vallabh Bhanshali,1
Jagdish & Sandeep Mehta Family Office,N Squared Management LLC,1
Equity Crest,Vinners,1
Equity Crest,Sparknext,1
Sparknext,Vinners,1
March Capital,Temasek Holdings,1
Temasek Holdings,Warburg Pincus,1
March Capital,Warburg Pincus,1
50k Ventures,Munish Jauhar,1
50k Ventures,Pulkit Jain,1
50k Ventures,Rohit Narang,1
Munish Jauhar,Pulkit Jain,1
Munish Jauhar,Rohit Narang,1
Pulkit Jain,Rohit Narang,1
Mustafa Wajid,Umang Kumar & Others,1
Flipkart,Saavn,1
Flipkart,Micromax,1
Dhiraj Rajaram,Flipkart,1
Ambiga Dhiraj,Flipkart,1
Dinesh Agarwal,Flipkart,1
Flipkart,Samir Bangara,1
Flipkart,Sanjay Nath,1
Arihant Patni,Flipkart,1
Micromax,Saavn,1
Dhiraj Rajaram,Saavn,1
Ambiga Dhiraj,Saavn,1
Dinesh Agarwal,Saavn,1
Saavn,Samir Bangara,1
Saavn,Sanjay Nath,1
Arihant Patni,Saavn,1
Dhiraj Rajaram,Micromax,1
Ambiga Dhiraj,Micromax,1
Dinesh Agarwal,Micromax,1
Micromax,Samir Bangara,1
Micromax,Sanjay Nath,1
Arihant Patni,Micromax,1
Ambiga Dhiraj,Dhiraj Rajaram,1
Dhiraj Rajaram,Dinesh Agarwal,1
Dhiraj Rajaram,Samir Bangara,1
Dhiraj Rajaram,Sanjay Nath,1
Arihant Patni,Dhiraj Rajaram,1
Ambiga Dhiraj,Dinesh Agarwal,1
Ambiga Dhiraj,Samir Bangara,1
Ambiga Dhiraj,Sanjay Nath,1
Ambiga Dhiraj,Arihant Patni,1
Dinesh Agarwal,Samir Bangara,1
Dinesh Agarwal,Sanjay Nath,1
Arihant Patni,Dinesh Agarwal,1
Samir Bangara,Sanjay Nath,1
Arihant Patni,Sanjay Nath,1
Samar Singla,Varun Khurana,1
Varun Khurana,Vinay Bansal,1
Samar Singla,Vinay Bansal,1
Hyderabad Angels,Lalit Mangal,1
Hyderabad Angels,\\xc2\\xa0 Vikas Malpani,1
Hyderabad Angels,LV Prasad,1
Lalit Mangal,\\xc2\\xa0 Vikas Malpani,1
Gaurav Bhalotia,Lalit Mangal,1
LV Prasad,Lalit Mangal,1
Gaurav Bhalotia,\\xc2\\xa0 Vikas Malpani,1
LV Prasad,\\xc2\\xa0 Vikas Malpani,1
Gaurav Bhalotia,LV Prasad,1
Bertelsmann India Investments,Nirvana Digital Investment Holding,1
500 Startups,Bertelsmann India Investments,1
Nirvana Digital India Fund,Nirvana Digital Investment Holding,1
500 Startups,Nirvana Digital India Fund,1
500 Startups,Nirvana Digital Investment Holding,1
Harmony Partners,RB Investments & existing investors,1
Unilazer Fund,\\xc2\\xa0 Phanindra Sama,1
Peyush Bansal,Unilazer Fund,1
Peyush Bansal,\\xc2\\xa0 Phanindra Sama,1
Lemelson Foundation,Michael and Susan Dell Foundation,1
Ambi Parameswaran,Farooq Adam,1
Beenext Ventures,Sequoia Capital,1
India Quotient,Sequoia Capital,2
Anand Chandrasekaran,Sequoia Capital,1
Beenext Ventures,India Quotient,1
Anand Chandrasekaran,Beenext Ventures,1
Anand Chandrasekaran,India Quotient,1
Jungle Ventures,Taurus Value Creation,1
Jungle Ventures,Konly Venture,1
Blume Ventures,Jungle Ventures,2
Konly Venture,Taurus Value Creation,1
Blume Ventures,Taurus Value Creation,1
Blume Ventures,Konly Venture,1
Arihant Patni,Avnish Mehra,1
Arihant Patni,Pranay Adhvaryu,1
Arihant Patni,Ravi Sampat,1
Avnish Mehra,Pranay Adhvaryu,1
Avnish Mehra,Ravi Sampat,1
Pranay Adhvaryu,Ravi Sampat,1
Institutional Venture Partners,Norwest Venture Partners,1
Institutional Venture Partners,Lightspeed Venture Partners,1
CRV,Institutional Venture Partners,1
Lightspeed Venture Partners,Norwest Venture Partners,1
CRV,Norwest Venture Partners,1
CRV,Lightspeed Venture Partners,1
Kalaari Capital and Inventus Capital,Nandan Nilekani,1
Accel Partners,Kalaari Capital and Inventus Capital,1
Amit Gupta,Anupam Mittal,1
Anupam Mittal,Utsav Somani,1
Anupam Mittal,Neeraj Goenka,1
Anupam Mittal,Farooq Adam Mukadam,1
Amit Gupta,Utsav Somani,1
Amit Gupta,Neeraj Goenka,1
Amit Gupta,Farooq Adam Mukadam,1
Neeraj Goenka,Utsav Somani,1
Farooq Adam Mukadam,Utsav Somani,1
Farooq Adam Mukadam,Neeraj Goenka,1
Mohit Saxena,TV Mohandas Pai,1
Raghunandan G,TV Mohandas Pai,1
Singapore Angel Network,TV Mohandas Pai,1
TV Mohandas Pai,TracxnLabs,1
Mohit Saxena,Raghunandan G,1
Mohit Saxena,Singapore Angel Network,1
Mohit Saxena,TracxnLabs,1
Raghunandan G,Singapore Angel Network,1
Raghunandan G,TracxnLabs,1
Singapore Angel Network,TracxnLabs,1
Harminder Sahni,Krishna Mehra,1
Harminder Sahni,Sanjay Bakshi,1
Krishna Mehra,Sanjay Bakshi,1
Lightspeed Venture Partners,Zodius Technology Fund,1
Inventus Capital,Kalaari Capital,1
Kalaari Capital,Tekton Ventures,1
Kae Capital,Kalaari Capital,1
Inventus Capital,Tekton Ventures,1
Inventus Capital,Kae Capital,1
Kae Capital,Tekton Ventures,1
Amit Patni,Anirudh Damani,1
Amit Patni,Samir Shah,1
Anirudh Damani,Samir Shah,1
Aarin Capital Partners,TV Mohandas Pai,1
Lashit Sanghvi,Nikhil Vora,1
Lashit Sanghvi,Venkat Vardhan,1
Lashit Sanghvi,Mohammed Bin Abdul Rehman Al Khalifa,1
Lashit Sanghvi,\\xc2\\xa0 Ralph Berezan,1
Lashit Sanghvi,Vissal Mathew,1
Lashit Sanghvi,\\xc2\\xa0 Balamurali Krishna,1
Nikhil Vora,Venkat Vardhan,1
Mohammed Bin Abdul Rehman Al Khalifa,Nikhil Vora,1
Nikhil Vora,\\xc2\\xa0 Ralph Berezan,1
Nikhil Vora,Vissal Mathew,1
Nikhil Vora,\\xc2\\xa0 Balamurali Krishna,1
Mohammed Bin Abdul Rehman Al Khalifa,Venkat Vardhan,1
Venkat Vardhan,\\xc2\\xa0 Ralph Berezan,1
Venkat Vardhan,Vissal Mathew,1
Venkat Vardhan,\\xc2\\xa0 Balamurali Krishna,1
Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan,1
Mohammed Bin Abdul Rehman Al Khalifa,Vissal Mathew,1
Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Balamurali Krishna,1
Vissal Mathew,\\xc2\\xa0 Ralph Berezan,1
\\xc2\\xa0 Balamurali Krishna,\\xc2\\xa0 Ralph Berezan,1
Vissal Mathew,\\xc2\\xa0 Balamurali Krishna,1
TV Mohandas Pai,The Saha Fund,1
Sequoia Capital,Times Internet Ltd & One more Fund,1
Anupam Mittal,Rajesh Sawhney,1
Dinesh Agarwal,Rajesh Sawhney,1
Gaurav Gupta,Rajesh Sawhney,1
Anupam Mittal,Dinesh Agarwal,1
Anupam Mittal,Gaurav Gupta,1
Dinesh Agarwal,Gaurav Gupta,1
Sequoia Capital,ru-Net,1
\\xc2\\xa0 Lightbox Ventures,ru-Net,1
Sequoia Capital,\\xc2\\xa0 Lightbox Ventures,1
Ajeet Khurana Jinesh Shah,Vikram Chachra,1
Ajeet Khurana Jinesh Shah,Dr. Aniruddha Malpani,1
Dr. Aniruddha Malpani,Vikram Chachra,1
Orios Venture Partners,Unilazer Ventures,1
Steven Lurie,Unilazer Ventures,1
Orios Venture Partners,Steven Lurie,1
Jitendra Gupta,TracxnLabs,1
Prashant Tandon,TracxnLabs,1
Jitendra Gupta,Prashant Tandon,1
Accion,SAIF Partners,1
Tiger Global Management,Yuri Milner,1
Apoletto,Tiger Global Management,1
Flipkart,Tiger Global Management,2
Apoletto,Yuri Milner,1
Accel Partners,Yuri Milner,1
Flipkart,Yuri Milner,1
Accel Partners,Apoletto,1
Apoletto,Flipkart,1
Mr. Praveen Someshwar,Mr. Sudhir & Ms. Shalini Sethi,1
Blume Ventures,Sequoia Capital,2
Sequoia Capital,Uniqorn Ventures and other,1
Blume Ventures,Uniqorn Ventures and other,1
Gabriel Investments,Sashi Reddi,1
LetsVenture,Mohandas Pai,1
Rajan Anandan,Zoya Akhtar,1
Rajan Anandan,Reema Kagati,1
Rajan Anandan,Ruchi Narain,1
Amrish Kumar,Rajan Anandan,1
Hrishikesh Parandekar,Rajan Anandan,1
Reema Kagati,Zoya Akhtar,1
Ruchi Narain,Zoya Akhtar,1
Amrish Kumar,Zoya Akhtar,1
Hrishikesh Parandekar,Zoya Akhtar,1
Reema Kagati,Ruchi Narain,1
Amrish Kumar,Reema Kagati,1
Hrishikesh Parandekar,Reema Kagati,1
Amrish Kumar,Ruchi Narain,1
Hrishikesh Parandekar,Ruchi Narain,1
Amrish Kumar,Hrishikesh Parandekar,1
Accel Partners India,RB Investments,1
Mumbai Angels,Singapore Angel Network,2
Mumbai Angels,Zishaan Hayath,1
Singapore Angel Network,Zishaan Hayath,1
Singapore Angels Network,Vijay Shekhar Sharma,1
Amazon,Vertex Ventures,1
Amazon,Qualcomm,1
Amazon,Ru-Net Technology Partners,1
